WARD,ALDERMAN,ADDRESS,CITY,STATE,ZIPCODE,WARD PHONE,WARD FAX,EMAIL,WEBSITE,LOCATION,CITY HALL ADDRESS,CITY HALL CITY,CITY HALL STATE,CITY HALL ZIPCODE,CITY HALL PHONE
1,"Proco ""Joe"" Moreno",2058 North Western Avenue,Chicago,IL,60647,(773) 278-0101,(773) 278-2541,ward01@cityofchicago.org,http://www.ward1.org,"(41.9192937068, -87.6876139388)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-3063
6,Roderick T. Sawyer,8001 S. Martin Luther King Drive,Chicago,IL,60619,(773) 635-0006,(773) 891-5679,Roderick.Sawyer@cityofchicago.org,http://www.6thwardchicago.com,"(41.7492015461, -87.6147714269)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-0670
11,Patrick Daley Thompson,3659 South Halsted Street,Chicago,IL,60609,(773) 254-6677,,Patrick.thompson@cityofchicago.org,http://www.ward11.org/,"(41.827129718, -87.6458753625)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-6663
43,Michelle Smith,2523 North Halsted Street,Chicago,IL,60614,(773) 348-9500,(773) 348-9594,yourvoice@ward43.org,http://www.ward43.org/,"(41.9280365162, -87.6487067234)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-5685
25,"Daniel ""Danny"" Solis",1800 South Blue Island Avenue,Chicago,IL,60608,(773) 523-4100,(773) 523-9900,Daniel.Solis@cityofchicago.org,http://www.dannysolis.org/,"(41.8576650964, -87.6615076578)","121 North LaSalle Street, Room 304",Chicago,IL,60602,(312) 744-6845
38,Nicholas Sposato,3821  North Harlem Avenue,Chicago,IL,60634,(773) 283-3838,(773) 283-3235,info@aldermansposato.com,http://aldermansposato.com/,"(41.9495596847, -87.807008656)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-7947
26,Roberto Maldonado,2511 West Division Street,Chicago,IL,60622,(773) 395-0143,(773) 395-0146,Roberto.Maldonado@cityofchicago.org,http://robertomaldonado.com/,"(41.9028790569, -87.6899449936)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-6853
15,Raymond A. Lopez,1650 West 63rd Street,Chicago,IL,60636,(773) 306-0837,,ward15@cityofchicago.org,http://www.the15thward.org/,"(41.7795338329, -87.6662750718)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-4321
21,"Howard B. Brookins, Jr.","9011 South Ashland Avenue, Unit B",Chicago,IL,60620,(773) 881-9300,(773) 881-2152,ward21@cityofchicago.org,http://www.howardbrookinsjr.com/,"(41.7299276017, -87.6627457509)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-4810
47,Ameya Pawar,4243 North Lincoln Avenue,Chicago,IL,60618,(773) 868-4747,(773) 549-4757,info@chicago47.org,http://www.chicago47.org/,"(41.9589422899, -87.6819497565)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-0446
30,Ariel E. Reyboras,3559 North Milwaukee Avenue,Chicago,IL,60641,(773) 794-3095,(773) 794-8576,ward30@cityofchicago.org,http://www.30thwardchicago.com/,"(41.9454581597, -87.7340607673)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-8576
2,Brian Hopkins,1400 North  Ashland Avenue,Chicago,IL,60622,(312)643-2299,,Ward02@cityofchicago.org,http://www.brianhopkinsforchicago.com/,"(41.9070344812, -87.6677379022)","121 North LaSalle Street, Room 200",Chicago,IL,60602,(312) 744-6834
7,Gregory I. Mitchell,2249 East 95th Street,Chicago,IL,60617,(773) 731-7777,,alderman@gregmitchell7thward.org,http://mitchellforalderman.com/,"(41.7224429572, -87.568609142)","121 North LaSalle Street,  Room 200",Chicago,IL,60602,(312) 744-6833
29,Chris Taliaferro,6272 West North Avenue,Chicago,IL,60639,(773) 237-6460,(773) 237-6418,ward29@cityofchicago.org,,"(41.9092831325, -87.7829990726)","121 North LaSalle Street, Room 300",Chicago,IL,60602,(312) 744-8805
